Year,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1911,1021.57,2792.24,694.55,3056.5,607.48,2374.36,258.22,489.64,906.3,1006.49,2685.77,1636.2,905.94,2332.41,5529.99,3390.49,2331.15,1254.49,547.98,251.64,1582.9,921.86,3334.17,1864.07,171.35,336.25,460.18,622.5,588.83,639.95,620.41,1039.29,1148.56,671.71,2110.36,1464.77,1001.9,1345.87,1137.69,310.65,1421.04,867.28,1653.1,967.7,1096.78
1912,1060.89,2672.48,803.46,2421.43,804.52,2514.55,862.96,635.75,938.48,1176.88,2998.94,1692.3,1069.91,1936.58,3987.15,2801.3,1975.88,1250.42,613.93,467.99,1361.76,1059.64,2615.79,1579.79,167.91,309.71,426.01,533.46,507.29,552.45,528.73,934.8,1046.79,595.95,1936.58,1005.76,1166.7,1264.82,2077.9,1191.16,1025.71,979.2,1999.9,908.65,1232.44
1913,1094,2530.1,737.44,2779.45,474.48,2322.69,945.43,430.23,941.18,969.3,2319.76,1460.7,1134.23,2200,4780.73,3194.53,2177.93,1361.47,561.93,377.81,1635.01,941.55,3106.8,2135.15,187.99,375.67,495.64,662.02,624.41,675.86,639.5,1029.11,1130.63,682.87,2074.81,1618.01,970,1345.39,2173.23,916.45,1594.12,951.24,1899.82,804.33,1003.23
1914,1175.45,2980.99,916.31,2219.98,928.69,3649.91,909.17,747.72,1271.11,1217.77,2694.88,1907.6,1401.24,1772.87,4005.92,2749.5,1704.07,1374.58,862.52,486.26,1518.25,1004.77,2515.16,1753.41,204.09,395.37,561.24,767.92,729.51,775.72,782.04,1415.62,1488.66,876.72,1617.75,1334.19,1520.8,1354.72,2685.14,1067.93,1244.46,1050.51,2005,1124.93,1588.15
1915,1168.79,2786.39,1085.23,2900.07,646.89,2676.94,410.49,506.63,918.18,1156.43,2996.89,1602.6,1288.14,2197.23,4997.52,3239.73,2255.33,1509.72,551.47,256.94,1651.6,1119.64,3076.63,1916.81,173.07,310.53,408.24,540.51,508.65,567.52,526.11,935.46,1049.46,592.42,2232.62,1557.14,1072.6,1471.75,1604.73,504.72,1399.04,1054.28,1864.16,1102.91,1226.34
1916,1277.51,3100.64,1157.58,2422.01,803.98,2888.21,836.69,671.08,969.89,1338.09,2790.46,1407.2,1502.45,1979.24,4057.41,2823.99,1918.02,1424.03,709.57,604.49,1458.51,1069.63,2825.11,2062.5,167.79,297.62,375.1,510.16,479.5,557.6,509.99,1145.25,1188.12,631.58,1843.26,1538.82,1163.8,1475,2590.03,948.16,1555.59,1280.71,1774.08,1186.66,1280.4
1917,1344.51,2623.97,1154.36,2498.22,1129.42,2607.02,1025.22,932.17,1456.26,1197.63,2494.92,1667.9,1333.14,1987.96,4253.82,2847.28,1989.48,1684.99,1031.89,828.65,1455.61,1062.14,2688.5,1991.03,238.5,460.31,536.36,813.44,748.6,900.19,773.2,1662.43,1779.97,904.41,1969.39,1434.56,1695,1601.59,2294.6,1066.73,1485.65,1306.65,1721.89,1333.15,1744.68
1918,856.58,3241.29,684.69,2358.17,424.27,1427.78,261.8,350.68,778.11,708.11,1903.65,1630,652.1,1789.53,4153.64,2730.96,1863.12,1140.34,441.34,207.38,1556.19,889.56,2533.79,1728.93,161.43,296.37,372.26,504.49,476.16,538,499.85,839.13,955.19,544.38,1851.46,1520.05,758.6,1210.45,945.65,240.3,1404.15,693.43,1446.32,779.19,778.3
1919,1185.54,2366.75,901.85,2522.76,771.13,2625.11,762.84,667.71,1044.85,1165.4,2712.08,1884.4,1200.1,1970.17,4321.22,3089.24,2027.24,1582.1,719.52,531.55,1335.79,1121.31,2871.96,1786.13,158.47,291.08,391.87,536.62,505.14,573.12,541.22,1073.54,1171.15,626.67,1909.9,1231.04,1250.3,1538.67,2342.6,755.61,1378.61,1288.9,2013.24,1024.99,1192.63
1920,911.77,3017.33,616.09,2226.25,649.85,2162.7,557.17,538.83,820.73,902.89,2579.66,1845.7,731.64,1807.56,4000.64,2689.82,1721.24,1137.49,512.17,398.43,1280.62,1122.97,2558.92,1696.93,164.74,309.85,458.18,528.64,502.8,531.47,508.24,811.78,932.28,570.1,1597.65,1012.98,959.6,987.2,1309.46,877.18,1113.67,779.22,1926.14,865.31,1098.09
