,lon,lat,weather_id,main,description,icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,all,dt,type,sys_id,country,sunrise_timestamp,sunset_timestamp,timezone,city_id,city_name,cod,Datetime,Date,sunrise_time,sunset_time
45,-2.2374,53.4809,804,Clouds,overcast clouds,04d,stations,285.98,285.56,284.9,286.97,1007,86,10000,2.06,20,100,1666248679,2,2013239,GB,20-10-2022 06:44,20-10-2022 17:02,3600,2643123,Manchester,200,20-10-2022 06:51,20-10-2022,06:44:42,17:02:30
46,-2.9779,53.4106,300,Drizzle,light intensity drizzle,09d,stations,285.48,285.17,285.06,286.64,1006,92,9000,3.6,80,100,1666248699,2,2008599,GB,20-10-2022 06:47,20-10-2022 17:05,3600,2644210,Liverpool,200,20-10-2022 06:51,20-10-2022,06:47:32,17:05:36
47,-5.9333,54.5833,804,Clouds,overcast clouds,04n,stations,286.03,285.83,284.53,286.05,1007,94,5000,4.63,120,100,1666248496,1,1376,GB,20-10-2022 07:01,20-10-2022 17:15,3600,2655984,Belfast,200,20-10-2022 06:48,20-10-2022,07:01:44,17:15:02
48,-2.3591,51.3779,500,Rain,light rain,10d,stations,287.02,286.89,286.35,288.64,1006,93,10000,1.72,148,100,1666248567,2,2004135,GB,20-10-2022 06:41,20-10-2022 17:06,3600,2656173,Bath,200,20-10-2022 06:49,20-10-2022,06:41:14,17:06:56
49,-1.256,51.7522,501,Rain,moderate rain,10d,stations,287.35,287.38,286.75,288.02,1007,98,3600,1.54,200,100,1666248758,2,2045906,GB,20-10-2022 06:37,20-10-2022 17:01,3600,2640729,Oxford,200,20-10-2022 06:52,20-10-2022,06:37:30,17:01:51
50,55.3047,25.2582,800,Clear,clear sky,01d,stations,305.92,306.18,303.31,306.11,1013,38,10000,1.03,0,0,1666248480,1,7537,AE,20-10-2022 02:19,20-10-2022 13:47,14400,292223,Dubai,200,20-10-2022 06:48,20-10-2022,02:19:19,13:47:36
51,54.3667,24.4667,800,Clear,clear sky,01d,stations,304.16,309.61,304.16,304.21,1013,66,8000,1.03,0,8,1666248217,1,7533,AE,20-10-2022 02:22,20-10-2022 13:52,14400,292968,Abu Dhabi,200,20-10-2022 06:43,20-10-2022,02:22:24,13:52:02
52,55.4033,25.3573,800,Clear,clear sky,01d,stations,305.31,306.65,305.31,306.14,1014,45,10000,1.03,0,0,1666248922,1,7545,AE,20-10-2022 02:19,20-10-2022 13:47,14400,292672,Sharjah city,200,20-10-2022 06:55,20-10-2022,02:19:00,13:47:07
53,55.7606,24.1917,800,Clear,clear sky,01d,stations,306.94,304.56,306.94,306.94,1015,15,10000,4.12,130,0,1666249056,1,7536,AE,20-10-2022 02:16,20-10-2022 13:46,14400,292913,Al Ain,200,20-10-2022 06:57,20-10-2022,02:16:35,13:46:41
54,55.435,25.4111,800,Clear,clear sky,01d,stations,305.34,306.7,305.34,306.17,1014,45,10000,1.03,0,0,1666249074,1,7545,AE,20-10-2022 02:18,20-10-2022 13:46,14400,292932,Ajman,200,20-10-2022 06:57,20-10-2022,02:18:56,13:46:57
55,-73.5878,45.5088,804,Clouds,overcast clouds,04n,stations,279.48,276.09,278.22,279.95,1005,77,10000,5.14,180,100,1666248965,1,498,CA,20-10-2022 11:17,20-10-2022 22:00,-14400,6077243,Montreal,200,20-10-2022 06:56,20-10-2022,11:17:06,22:00:50
56,-79.4163,43.7001,804,Clouds,overcast clouds,04n,stations,277.18,272.34,275.66,277.81,1005,82,10000,7.2,240,100,1666248558,1,718,CA,20-10-2022 11:37,20-10-2022 22:26,-14400,6167865,Toronto,200,20-10-2022 06:49,20-10-2022,11:37:56,22:26:38
57,-123.1193,49.2497,721,Haze,haze,50n,stations,284.67,284.25,282.51,286.34,1022,91,10000,1.03,0,20,1666248872,2,2011597,CA,19-10-2022 14:39,20-10-2022 01:14,-25200,6173331,Vancouver,200,20-10-2022 06:54,20-10-2022,14:39:36,01:14:53
58,-75.6981,45.4112,804,Clouds,overcast clouds,04n,stations,277.91,273.88,277.1,278.47,1002,92,10000,5.66,220,100,1666249173,2,2005537,CA,20-10-2022 11:25,20-10-2022 22:09,-14400,6094817,Ottawa,200,20-10-2022 06:59,20-10-2022,11:25:25,22:09:24
59,-71.2145,46.8123,803,Clouds,broken clouds,04n,stations,276.05,276.05,274.71,277.86,1007,93,10000,1.03,0,75,1666249192,2,265473,CA,20-10-2022 11:09,20-10-2022 21:49,-14400,6325494,Québec,200,20-10-2022 06:59,20-10-2022,11:09:30,21:49:27
